1: 0-0-0
2: 0-0-1
3: 0-0-2
4: 0-0-3
5: 0-0-4
6: 0-0-5
7: 0-0-6
8: 0-0-7
9: 0-0-8
10: 0-0-9
11: 0-1-0
12: 0-1-1
13: 0-1-2
14: 0-1-3
15: 0-1-4
16: 0-1-5
17: 0-1-6
18: 0-1-7
19: 0-1-8
20: 0-1-9
21: 0-2-0
22: 0-2-1
23: 0-2-2
24: 0-2-3
25: 0-2-4
26: 0-2-5
27: 0-2-6
28: 0-2-7
29: 0-2-8
30: 0-2-9
31: 0-3-0
32: 0-3-1
33: 0-3-2
34: 0-3-3
35: 0-3-4
36: 0-3-5
37: 0-3-6
38: 0-3-7
39: 0-3-8
40: 0-3-9
41: 0-4-0
42: 0-4-1
43: 0-4-2
44: 0-4-3
45: 0-4-4
46: 0-4-5
47: 0-4-6
48: 0-4-7
49: 0-4-8
50: 0-4-9
51: 0-5-0
52: 0-5-1
53: 0-5-2
54: 0-5-3
55: 0-5-4
56: 0-5-5
57: 0-5-6
58: 0-5-7
59: 0-5-8
60: 0-5-9
61: 0-6-0
62: 0-6-1
63: 0-6-2
64: 0-6-3
65: 0-6-4
66: 0-6-5
67: 0-6-6
68: 0-6-7
69: 0-6-8
70: 0-6-9
71: 0-7-0
72: 0-7-1
73: 0-7-2
74: 0-7-3
75: 0-7-4
76: 0-7-5
77: 0-7-6
78: 0-7-7
79: 0-7-8
80: 0-7-9
81: 0-8-0
82: 0-8-1
83: 0-8-2
84: 0-8-3
85: 0-8-4
86: 0-8-5
87: 0-8-6
88: 0-8-7
89: 0-8-8
90: 0-8-9
91: 0-9-0
92: 0-9-1
93: 0-9-2
94: 0-9-3
95: 0-9-4
96: 0-9-5
97: 0-9-6
98: 0-9-7
99: 0-9-8
100: 0-9-9
101: 1-0-0
102: 1-0-1
103: 1-0-2
104: 1-0-3
105: 1-0-4
106: 1-0-5
107: 1-0-6
108: 1-0-7
109: 1-0-8
110: 1-0-9
111: 1-1-0
112: 1-1-1
113: 1-1-2
114: 1-1-3
115: 1-1-4
116: 1-1-5
117: 1-1-6
118: 1-1-7
119: 1-1-8
120: 1-1-9
121: 1-2-0
122: 1-2-1
123: 1-2-2
124: 1-2-3
125: 1-2-4
126: 1-2-5
127: 1-2-6
128: 1-2-7
129: 1-2-8
130: 1-2-9
131: 1-3-0
132: 1-3-1
133: 1-3-2
134: 1-3-3
135: 1-3-4
136: 1-3-5
137: 1-3-6
138: 1-3-7
139: 1-3-8
140: 1-3-9
141: 1-4-0
142: 1-4-1
143: 1-4-2
144: 1-4-3
145: 1-4-4
146: 1-4-5
147: 1-4-6
148: 1-4-7
149: 1-4-8
150: 1-4-9
151: 1-5-0
152: 1-5-1
153: 1-5-2
154: 1-5-3
155: 1-5-4
156: 1-5-5
157: 1-5-6
158: 1-5-7
159: 1-5-8
160: 1-5-9
161: 1-6-0
162: 1-6-1
163: 1-6-2
164: 1-6-3
165: 1-6-4
166: 1-6-5
167: 1-6-6
168: 1-6-7
169: 1-6-8
170: 1-6-9
171: 1-7-0
172: 1-7-1
173: 1-7-2
174: 1-7-3
175: 1-7-4
176: 1-7-5
177: 1-7-6
178: 1-7-7
179: 1-7-8
180: 1-7-9
181: 1-8-0
182: 1-8-1
183: 1-8-2
184: 1-8-3
185: 1-8-4
186: 1-8-5
187: 1-8-6
188: 1-8-7
189: 1-8-8
190: 1-8-9
191: 1-9-0
192: 1-9-1
193: 1-9-2
194: 1-9-3
195: 1-9-4
196: 1-9-5
197: 1-9-6
198: 1-9-7
199: 1-9-8
200: 1-9-9
201: 2-0-0
202: 2-0-1
203: 2-0-2
204: 2-0-3
205: 2-0-4
206: 2-0-5
207: 2-0-6
208: 2-0-7
209: 2-0-8
210: 2-0-9
211: 2-1-0
212: 2-1-1
213: 2-1-2
214: 2-1-3
215: 2-1-4
216: 2-1-5
217: 2-1-6
218: 2-1-7
219: 2-1-8
220: 2-1-9
221: 2-2-0
222: 2-2-1
223: 2-2-2
224: 2-2-3
225: 2-2-4
226: 2-2-5
227: 2-2-6
228: 2-2-7
229: 2-2-8
230: 2-2-9
231: 2-3-0
232: 2-3-1
233: 2-3-2
234: 2-3-3
235: 2-3-4
236: 2-3-5
237: 2-3-6
238: 2-3-7
239: 2-3-8
240: 2-3-9
241: 2-4-0
242: 2-4-1
243: 2-4-2
244: 2-4-3
245: 2-4-4
246: 2-4-5
247: 2-4-6
248: 2-4-7
249: 2-4-8
250: 2-4-9
251: 2-5-0
252: 2-5-1
253: 2-5-2
254: 2-5-3
255: 2-5-4
256: 2-5-5
257: 2-5-6
258: 2-5-7
259: 2-5-8
260: 2-5-9
261: 2-6-0
262: 2-6-1
263: 2-6-2
264: 2-6-3
265: 2-6-4
266: 2-6-5
267: 2-6-6
268: 2-6-7
269: 2-6-8
270: 2-6-9
271: 2-7-0
272: 2-7-1
273: 2-7-2
274: 2-7-3
275: 2-7-4
276: 2-7-5
277: 2-7-6
278: 2-7-7
279: 2-7-8
280: 2-7-9
281: 2-8-0
282: 2-8-1
283: 2-8-2
284: 2-8-3
285: 2-8-4
286: 2-8-5
287: 2-8-6
288: 2-8-7
289: 2-8-8
290: 2-8-9
291: 2-9-0
292: 2-9-1
293: 2-9-2
294: 2-9-3
295: 2-9-4
296: 2-9-5
297: 2-9-6
298: 2-9-7
299: 2-9-8
300: 2-9-9
301: 3-0-0
302: 3-0-1
303: 3-0-2
304: 3-0-3
305: 3-0-4
306: 3-0-5
307: 3-0-6
308: 3-0-7
309: 3-0-8
310: 3-0-9
311: 3-1-0
312: 3-1-1
313: 3-1-2
314: 3-1-3
315: 3-1-4
316: 3-1-5
317: 3-1-6
318: 3-1-7
319: 3-1-8
320: 3-1-9
321: 3-2-0
322: 3-2-1
323: 3-2-2
324: 3-2-3
325: 3-2-4
326: 3-2-5
327: 3-2-6
328: 3-2-7
329: 3-2-8
330: 3-2-9
331: 3-3-0
332: 3-3-1
333: 3-3-2
334: 3-3-3
335: 3-3-4
336: 3-3-5
337: 3-3-6
338: 3-3-7
339: 3-3-8
340: 3-3-9
341: 3-4-0
342: 3-4-1
343: 3-4-2
344: 3-4-3
345: 3-4-4
346: 3-4-5
347: 3-4-6
348: 3-4-7
349: 3-4-8
350: 3-4-9
351: 3-5-0
352: 3-5-1
353: 3-5-2
354: 3-5-3
355: 3-5-4
356: 3-5-5
357: 3-5-6
358: 3-5-7
359: 3-5-8
360: 3-5-9
361: 3-6-0
362: 3-6-1
363: 3-6-2
364: 3-6-3
365: 3-6-4
366: 3-6-5
367: 3-6-6
368: 3-6-7
369: 3-6-8
370: 3-6-9
371: 3-7-0
372: 3-7-1
373: 3-7-2
374: 3-7-3
375: 3-7-4
376: 3-7-5
377: 3-7-6
378: 3-7-7
379: 3-7-8
380: 3-7-9
381: 3-8-0
382: 3-8-1
383: 3-8-2
384: 3-8-3
385: 3-8-4
386: 3-8-5
387: 3-8-6
388: 3-8-7
389: 3-8-8
390: 3-8-9
391: 3-9-0
392: 3-9-1
393: 3-9-2
394: 3-9-3
395: 3-9-4
396: 3-9-5
397: 3-9-6
398: 3-9-7
399: 3-9-8
400: 3-9-9
401: 4-0-0
402: 4-0-1
403: 4-0-2
404: 4-0-3
405: 4-0-4
406: 4-0-5
407: 4-0-6
408: 4-0-7
409: 4-0-8
410: 4-0-9
411: 4-1-0
412: 4-1-1
413: 4-1-2
414: 4-1-3
415: 4-1-4
416: 4-1-5
417: 4-1-6
418: 4-1-7
419: 4-1-8
420: 4-1-9
421: 4-2-0
422: 4-2-1
423: 4-2-2
424: 4-2-3
425: 4-2-4
426: 4-2-5
427: 4-2-6
428: 4-2-7
429: 4-2-8
430: 4-2-9
431: 4-3-0
432: 4-3-1
433: 4-3-2
434: 4-3-3
435: 4-3-4
436: 4-3-5
437: 4-3-6
438: 4-3-7
439: 4-3-8
440: 4-3-9
441: 4-4-0
442: 4-4-1
443: 4-4-2
444: 4-4-3
445: 4-4-4
446: 4-4-5
447: 4-4-6
448: 4-4-7
449: 4-4-8
450: 4-4-9
451: 4-5-0
452: 4-5-1
453: 4-5-2
454: 4-5-3
455: 4-5-4
456: 4-5-5
457: 4-5-6
458: 4-5-7
459: 4-5-8
460: 4-5-9
461: 4-6-0
462: 4-6-1
463: 4-6-2
464: 4-6-3
465: 4-6-4
466: 4-6-5
467: 4-6-6
468: 4-6-7
469: 4-6-8
470: 4-6-9
471: 4-7-0
472: 4-7-1
473: 4-7-2
474: 4-7-3
475: 4-7-4
476: 4-7-5
477: 4-7-6
478: 4-7-7
479: 4-7-8
480: 4-7-9
481: 4-8-0
482: 4-8-1
483: 4-8-2
484: 4-8-3
485: 4-8-4
486: 4-8-5
487: 4-8-6
488: 4-8-7
489: 4-8-8
490: 4-8-9
491: 4-9-0
492: 4-9-1
493: 4-9-2
494: 4-9-3
495: 4-9-4
496: 4-9-5
497: 4-9-6
498: 4-9-7
499: 4-9-8
500: 4-9-9
501: 5-0-0
502: 5-0-1
503: 5-0-2
504: 5-0-3
505: 5-0-4
506: 5-0-5
507: 5-0-6
508: 5-0-7
509: 5-0-8
510: 5-0-9
511: 5-1-0
512: 5-1-1
513: 5-1-2
514: 5-1-3
515: 5-1-4
516: 5-1-5
517: 5-1-6
518: 5-1-7
519: 5-1-8
520: 5-1-9
521: 5-2-0
522: 5-2-1
523: 5-2-2
524: 5-2-3
525: 5-2-4
526: 5-2-5
527: 5-2-6
528: 5-2-7
529: 5-2-8
530: 5-2-9
531: 5-3-0
532: 5-3-1
533: 5-3-2
534: 5-3-3
535: 5-3-4
536: 5-3-5
537: 5-3-6
538: 5-3-7
539: 5-3-8
540: 5-3-9
541: 5-4-0
542: 5-4-1
543: 5-4-2
544: 5-4-3
545: 5-4-4
546: 5-4-5
547: 5-4-6
548: 5-4-7
549: 5-4-8
550: 5-4-9
551: 5-5-0
552: 5-5-1
553: 5-5-2
554: 5-5-3
555: 5-5-4
556: 5-5-5
557: 5-5-6
558: 5-5-7
559: 5-5-8
560: 5-5-9
561: 5-6-0
562: 5-6-1
563: 5-6-2
564: 5-6-3
565: 5-6-4
566: 5-6-5
567: 5-6-6
568: 5-6-7
569: 5-6-8
570: 5-6-9
571: 5-7-0
572: 5-7-1
573: 5-7-2
574: 5-7-3
575: 5-7-4
576: 5-7-5
577: 5-7-6
578: 5-7-7
579: 5-7-8
580: 5-7-9
581: 5-8-0
582: 5-8-1
583: 5-8-2
584: 5-8-3
585: 5-8-4
586: 5-8-5
587: 5-8-6
588: 5-8-7
589: 5-8-8
590: 5-8-9
591: 5-9-0
592: 5-9-1
593: 5-9-2
594: 5-9-3
595: 5-9-4
596: 5-9-5
597: 5-9-6
598: 5-9-7
599: 5-9-8
600: 5-9-9
601: 6-0-0
602: 6-0-1
603: 6-0-2
604: 6-0-3
605: 6-0-4
606: 6-0-5
607: 6-0-6
608: 6-0-7
609: 6-0-8
610: 6-0-9
611: 6-1-0
612: 6-1-1
613: 6-1-2
614: 6-1-3
615: 6-1-4
616: 6-1-5
617: 6-1-6
618: 6-1-7
619: 6-1-8
620: 6-1-9
621: 6-2-0
622: 6-2-1
623: 6-2-2
